"Artist and Title","Days","Pk","(x?)","Total","Today"
"NF - Let You Down","212","12","","1,696,101","0"
"Taylor Swift - Lover","369","8","","1,693,975","27"
"Tiësto - Lay Low","342","10","","1,689,948","0"
"Post Malone - Goodbyes","173","4","","1,679,823","0"
"Travis Scott - goosebumps","221","14","","1,678,849","146"
"surf mesa - Ily","190","7","","1,675,822","0"
"Justin Timberlake - Say Something","158","4","","1,662,982","0"
"Tiësto & Dzeko - Jackie Chan","200","5","","1,662,021","0"
"Disturbed - The Sound of Silence","288","24","","1,660,785","0"
"Avicii - Without You","199","12","","1,653,408","0"
"BTS - Dynamite","279","7","","1,650,752","0"
"CJ - Whoopty","164","2","(x1)","1,649,394","0"
"Ariana Grande - God is a woman","191","4","","1,648,795","0"
"Nina Chuba - Wildberry Lillet","380","32","","1,643,228","0"
"PASHANIM - Sommergewitter","298","31","","1,642,396","541"
"Black Eyed Peas, Ozuna & J. Rey Soul - MAMACITA","232","9","","1,639,201","0"
"Teddy Swims - The Door","459","24","","1,631,282","90"
"Selena Gomez - Lose You to Love Me","161","2","(x3)","1,626,960","0"
"Ariana Grande - we can't be friends","231","2","(x19)","1,620,960","0"
"Imagine Dragons, JID & League of Legends - Enemy","248","11","","1,620,769","0"
"Женя Трофимов & Комната культуры - Поезда","669","77","","1,618,828","1,230"
"Disco Lines & Tinashe - No Broke Boys","288","11","","1,616,141","3,000"
"Powfu - Death Bed","184","8","","1,614,229","0"
"Tyga - Taste","260","20","","1,613,146","0"
"Ninho - De l'autre côté","185","55","","1,611,640","1,196"
"Jakone & SCIRENA - По весне","444","65","","1,610,708","304"
"Miyagi & Andy Panda - Патрон","497","57","","1,608,851","0"
"Robin Schulz - OK","211","17","","1,607,632","0"
"Chappell Roan - Pink Pony Club","385","21","","1,605,730","559"
"Avicii - Wake Me Up","107","3","(x1)","1,592,928","555"
"Shawn Mendes - In My Blood","189","2","(x5)","1,590,043","0"
"Macklemore & Ryan Lewis - Can't Hold Us","252","41","","1,589,340","2,084"
"Adele - Set Fire to the Rain","397","37","","1,580,666","108"
"Justin Bieber - DAISIES","227","2","(x9)","1,580,120","10,779"
