"Artist and Title","Wks","T10","Pk","(x?)","PkStreams","Total"
"PRIME - Canon long","2","","87","","415,744","726,273"
"Ashnikko - Paint The Town Blue (from the series Arcane League of Legends)","1","","76","","725,908","725,908"
"Booba - Zer","7","","34","","217,101","725,187"
"Hornet La Frappe - Bonnie","2","","120","","435,237","725,028"
"Vald - PANDEMONIUM","1","","66","","724,493","724,493"
"Lorenzo - Sucer la bite","2","","35","","478,676","724,471"
"Davido - UNAVAILABLE","2","","172","","384,911","724,387"
"MZ - Embrasse-moi","2","","180","","372,873","724,386"
"Niska - Bon déjà","2","","127","","376,259","724,236"
"Dinos - XNXX","2","","125","","364,298","723,736"
"Naza - La musique est bonne","2","","121","","401,690","723,668"
"Lacrim - Mythone pas","3","","48","","400,204","723,139"
"Dinos - Solitaire 1895","1","","52","","723,019","723,019"
"Landy - Derrière moi","2","","162","","420,256","723,003"
"Franglish - C'est plus l'heure","8","","152","","100,629","722,427"
"Djadja & Dinaz - Divisé","2","","93","","445,967","722,195"
"Bigflo & Oli - Nous aussi 2","2","","83","","384,085","721,809"
"Josman - Bambi","2","","100","","423,690","721,733"
"Leto - Outro","2","","102","","451,656","721,096"
"Hornet La Frappe - 93 Coast","2","","83","","472,505","721,010"
"Orelsan - CP_006_ Ah la France","1","","53","","720,718","720,718"
"DTF - Avant de partir","4","","88","","267,806","720,296"
"Major Lazer - Boom","8","","114","","111,541","718,863"
"Djadja & Dinaz - Toujours la même","1","","60","","717,764","717,764"
"Landy - Pleins phares","2","","172","","408,000","717,560"
"Bhk220 - BEP BEP BEP","2","","135","","382,332","717,497"
"Post Malone - Hollywood's Bleeding","2","","88","","432,437","716,961"
"Larry - Noblabla","2","","111","","395,299","716,523"
"Vitaa - De l'or","2","","117","","367,158","716,519"
"DA Uzi - Du nord au sud","2","","86","","447,038","716,201"
"Jul - Montblanc","1","","86","","715,332","715,332"
"Leto - Sale histoire","2","","88","","431,375","715,149"
"Hamza - SLOVAKIA","1","","77","","714,959","714,959"
"Mister V - Bulletproof","3","","45","","403,769","714,863"
