"Pos","Artist and Title","Popularity"
"350","Ariana Grande - 7 rings","0.10154"
"351","Panic! At the Disco - High Hopes","0.10114"
"352","Lady Gaga - Applause","0.10072"
"353","Shakira - Can't Remember To Forget You (feat. Rihanna)","0.10069"
"354","Lenny Kravitz - The Chamber","0.10031"
"355","El Profesor & Hugel - Bella ciao (HUGEL Remix)","0.09886"
"356","Dean Lewis - Be Alright","0.09806"
"357","Shakira - Chantaje (feat. Maluma)","0.09797"
"358","PNL - Bené","0.09780"
"359","The Chainsmokers - Don't Let Me Down (feat. Daya)","0.09770"
"360","Felix Jaehn - Ain't Nobody (Loves Me Better) [feat. Jasmine Thompson]","0.09736"
"361","Future - Mask Off","0.09728"
"362","Cardi B, Bad Bunny & J Balvin - I Like It","0.09538"
"363","Synapson - Djon Maya Maï (feat. Victor Démé) [Radio Edi...","0.09501"
"364","Purple Disco Machine - Devil in Me (feat. Joe Killington & Duane Harden)","0.09486"
"365","Ed Sheeran - Castle on the Hill","0.09485"
"366","Maître Gims - Changer","0.09438"
"367","Pharrell Williams - Freedom","0.09433"
"368","MHD - A Kele Nta","0.09397"
"369","Cœur de pirate - Mistral Gagnant","0.09374"
"370","Soprano - Millionnaire","0.09351"
"371","Iggy Azalea - Black Widow (feat. Rita Ora)","0.09327"
"372","Soprano - Mon précieux","0.09295"
"373","Fifth Harmony - Work from Home (feat. Ty Dolla $ign)","0.09257"
"374","Robin Schulz - Speechless (feat. Erika Sirola)","0.09253"
"375","AronChupa - I'm an Albatraoz","0.09204"
"376","Black M - La légende Black (feat. Dr. Beriz)","0.09196"
"377","Willy William - Ego (Radio Edit)","0.09115"
"378","Sia - Never Give Up","0.09060"
"379","Eminem - Berzerk","0.09031"
"380","Maroon 5 - Don't Wanna Know (feat. Kendrick Lamar)","0.09027"
"381","Jonas Blue - Perfect Strangers (feat. JP Cooper)","0.09011"
"382","PNL - 91's","0.09004"
"383","Lorde - Team","0.08975"
"384","Shakira - Dare (La La La)","0.08911"
"385","Selah Sue - Alone","0.08829"
"386","Birdy - Wings","0.08824"
"387","Fréro Delavega - Sweet Darling","0.08816"
"388","Martin Tungevaag - Wicked Wonderland (Radio Edit)","0.08804"
"389","X Ambassadors - Renegades","0.08779"
"390","Drake - In My Feelings","0.08776"
"391","David Guetta - Shot Me Down (feat. Skylar Grey)","0.08770"
"392","Brigitte - À bouche que veux-tu","0.08709"
"393","Alvaro Soler - Sofia","0.08682"
"394","Calvin Harris - Slide (feat. Frank Ocean & Migos)","0.08674"
"395","Pitbull - We Are One (Ole Ola) [The Official 2014 FIFA ...","0.08622"
"396","Bruno Mars - Locked Out of Heaven","0.08615"
"397","The Avener - To Let Myself Go (feat. Ane Brun)","0.08573"
"398","Big Boi - All Night","0.08568"
"399","Silentó - Watch Me (Whip / Nae Nae)","0.08516"
"400","Orelsan - La pluie (feat. Stromae)","0.08505"
"401","DJ Khaled - I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","0.08492"
"402","Black M - Le prince Aladin (feat. Kev Adams)","0.08440"
"403","Amine - Señorita","0.08435"
"404","Britney Spears - Work B**ch","0.08426"
"405","Charli XCX - Break the Rules","0.08370"
"406","Zara Larsson - Lush Life","0.08351"
"407","Major Lazer - Come On To Me (feat. Sean Paul)","0.08307"
"408","Keen'V - Dis-moi oui (Marina)","0.08278"
"409","MIKA - Boum Boum Boum","0.08255"
"410","gnash - i hate u, i love u (feat. olivia o'brien)","0.08223"
"411","Cecilia Krull & Gavin Moss - My Life Is Going On (Cecilia Krull vs. Gavin Moss)","0.08218"
"412","Maître Gims - Laissez passer","0.08212"
"413","Mc Fioti, Future, J Balvin, Stefflon Don & Juan Magan - Bum Bum Tam Tam","0.08208"
"414","Amir - On dirait","0.08150"
"415","Sia - Chandelier (Piano Version)","0.08130"
"416","Makassy - Doucement","0.08063"
"417","Kaaris - Tchoin","0.08038"
"418","DJ Snake & Lil Jon - Turn Down For What","0.08037"
"419","Disclosure - Latch (feat. Sam Smith)","0.08028"
"420","U2 - Ordinary Love","0.08002"
"421","Mike Perry - The Ocean (feat. Shy Martin)","0.07995"
"422","Black M - Je garde le sourire","0.07982"
"423","Heuss L'enfoiré - Khapta (feat. Sofiane)","0.07945"
"424","Berlin - Bella Ciao (feat. El profesor) [La Casa De Papel]","0.07905"
"425","Armin van Buuren - Blah Blah Blah","0.07894"
"426","Bad Bunny - MIA (feat. Drake)","0.07882"
"427","Gradur - Rosa","0.07843"
"428","Calvin Harris - Outside (feat. Ellie Goulding)","0.07842"
"429","Orelsan - Tout va bien","0.07832"
"430","Renaud - Toujours debout","0.07819"
"431","Jul - Wesh alors","0.07810"
"432","Sam Smith - Writing's on the Wall","0.07753"
"433","New World Sound & Thomas Newson - Flute","0.07747"
"434","Kygo - Stargazing (feat. Justin Jesso)","0.07727"
"435","Grand Corps Malade - Dimanche soir","0.07720"
"436","CNCO, Meghan Trainor & Sean Paul - Hey DJ (Remix)","0.07693"
"437","Jonas Blue - Mama (feat. William Singe)","0.07673"
"438","Hollysiz - Come Back to Me","0.07672"
"439","Major Lazer - Cold Water (feat. Justin Bieber & MØ)","0.07656"
"440","Starley - Call On Me (Ryan Riback Extended Remix)","0.07649"
"441","James Arthur - Say You Won't Let Go","0.07648"
"442","Shawn Mendes - In My Blood","0.07625"
"443","Booba - Validée (feat. Benash)","0.07617"
"444","Johnny Hallyday - Je te promets","0.07592"
"445","MHD - Afro Trap Pt. 7 (La puissance)","0.07583"
"446","Bramsito - Sale mood (feat. Booba)","0.07576"
"447","David Guetta - Hey Mama (feat. Nicki Minaj & Afrojack)","0.07558"
"448","DJ Assad - Li Tourner (Radio Edit) [feat. Alain Ramanis...","0.07556"
"449","Dadju - Django (feat. Franglish)","0.07554"
"450","Kendji Girac & Claudio Capéo - Que Dieu me pardonne","0.07536"
"451","Alonzo - Binta","0.07522"
"452","PNL - À l'ammoniaque","0.07506"
"453","Macklemore & Ryan Lewis - Can't Hold Us (feat. Ray Dalt...","0.07496"
"454","Taylor Swift - Blank Space","0.07475"
"455","Avicii - Waiting for Love","0.07440"
"456","Vianney - Moi aimer toi","0.07415"
"457","Maroon 5 - What Lovers Do (feat. SZA)","0.07407"
"458","O.T. Genasis - CoCo","0.07405"
"459","Mylène Farmer & Sting - Stolen Car","0.07367"
"460","Mike Will Made-It - 23 (feat. Miley Cyrus, Wiz Khalifa ...","0.07365"
"461","Soprano - À la vie à l'amour","0.07322"
"462","Dadju - Par amour (feat. Maître Gims)","0.07315"
"463","Flo Rida - GDFR (feat. Sage the Gemini & Lookas)","0.07299"
"464","Aloe Blacc - The Man","0.07286"
"465","Katy Perry - Bon Appétit (feat. Migos)","0.07246"
"466","DJ Hamida - Déconnectés (feat. Kayna Samet, Rim-K & Lar...","0.07243"
"467","Skrillex & Diplo - Where Are Ü Now (with Justin Bieber)","0.07229"
"468","Charli XCX - Boom Clap","0.07207"
"469","Johnny Hallyday - J'en parlerai au diable","0.07200"
"470","Fifth Harmony - Worth It (feat. Kid Ink)","0.07196"
"471","Lomepal - Trop beau","0.07187"
"472","Ofenbach - Paradise (feat. Benjamin Ingrosso)","0.07160"
"473","Claudio Capéo - Riche","0.07125"
"474","Dosseh - Habitué","0.07112"
"475","Eva Simons - Policeman (Radio Edit) [feat. Konshens]","0.07089"
"476","Vitaa - Ça les dérange (feat. Jul)","0.07041"
"477","Fréro Delavega - Ton visage","0.07035"
"478","Keen'V - La vie du bon côté (feat. Lorelei B)","0.07016"
